Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\Westwind.Data.MongoDb.csproj,File,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\Westwind.Data.MongoDb.csproj,,,mongocsharpdriver 1.11.0,,,,,"mongocsharpdriver, 1.11.0  Recommendation:  mongocsharpdriver, 2.30.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\Westwind.Data.MongoDb.csproj,File,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\Westwind.Data.MongoDb.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\Westwind.Data.MongoDb.csproj,File,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\Westwind.Data.MongoDb.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\Westwind.Data.MongoDb.csproj,File,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\Westwind.Data.MongoDb.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\Westwind.Data.MongoDb.csproj,File,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\MongoDbDataAccess.cs,184,16,T:System.Uri,,,,,var uri = new Uri(connectionString);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\Westwind.Data.MongoDb.csproj,File,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\MongoDbDataAccess.cs,184,16,M:System.Uri.#ctor(System.String),,,,,var uri = new Uri(connectionString);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\Westwind.Data.MongoDb.csproj,File,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\MongoDbDataAccess.cs,171,20,P:System.Configuration.ConnectionStringSettings.ConnectionString,,,,,connectionString = conn.ConnectionString;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\Westwind.Data.MongoDb.csproj,File,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\MongoDbDataAccess.cs,169,16,T:System.Configuration.ConfigurationManager,,,,,var conn = ConfigurationManager.ConnectionStrings[connectionString];
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\Westwind.Data.MongoDb.csproj,File,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\MongoDbDataAccess.cs,169,16,T:System.Configuration.ConnectionStringSettingsCollection,,,,,var conn = ConfigurationManager.ConnectionStrings[connectionString];
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\Westwind.Data.MongoDb.csproj,File,D:\projects\WestwindToolkit\Westwind.Data.MongoDb\MongoDbDataAccess.cs,169,16,P:System.Configuration.ConfigurationManager.ConnectionStrings,,,,,var conn = ConfigurationManager.ConnectionStrings[connectionString];
